id,search_path,ref_path,center_x,center_y,pattern,landmark,pred_x,pred_y,euclidean_error_px,latency_ms
26,val/search/000026.png,val/reference/000026.png,323.9794150025754,173.13976456710674,finfet,gate_break,324.0046,173.129,0.0274,241.51
27,val/search/000027.png,val/reference/000027.png,904.3114828727972,231.07443562172884,finfet,gate_break,904.2537,231.0222,0.0779,246.04
28,val/search/000028.png,val/reference/000028.png,833.1087758857676,319.899975322112,finfet,gate_break,833.0931,319.9317,0.0354,242.4
29,val/search/000029.png,val/reference/000029.png,384.6219464691901,531.6083811534791,finfet,gate_break,384.6835,531.5449,0.0884,217.77
30,val/search/000030.png,val/reference/000030.png,313.71345738503635,576.1925290600536,dram_grid,cut_wordline,841.0721,93.4271,714.9613,226.87
31,val/search/000031.png,val/reference/000031.png,335.0608297488386,368.3642377180578,dram_grid,missing_contact,335.178,368.3589,0.1173,212.76
32,val/search/000032.png,val/reference/000032.png,780.2249952428506,205.67389181972808,dram_grid,cut_wordline,914.3241,879.5364,687.0759,229.63
33,val/search/000033.png,val/reference/000033.png,733.69243084893,409.5189748419458,via_array,missing_contact,733.4476,409.4511,0.254,226.57
34,val/search/000034.png,val/reference/000034.png,139.87351983406063,524.895525206499,via_array,missing_contact,139.4396,524.8456,0.4368,271.91
35,val/search/000035.png,val/reference/000035.png,655.9628839084974,710.6266293248183,dram_grid,cut_wordline,655.9222,710.472,0.1599,263.95
36,val/search/000036.png,val/reference/000036.png,681.6950468555593,536.2522127618597,via_array,missing_contact,681.4929,536.3141,0.2114,215.76
37,val/search/000037.png,val/reference/000037.png,416.43346558447024,658.4212785866464,finfet,gate_break,416.4226,658.4486,0.0294,223.12
38,val/search/000038.png,val/reference/000038.png,152.29143397768996,143.64723885605406,via_array,missing_contact,152.4072,143.5553,0.1478,218.11
39,val/search/000039.png,val/reference/000039.png,231.20146962406025,437.3498897890841,via_array,missing_contact,231.2109,437.4206,0.0713,261.51
40,val/search/000040.png,val/reference/000040.png,824.1716336783576,134.48623578666633,finfet,gate_break,824.2752,134.5925,0.1484,205.52
41,val/search/000041.png,val/reference/000041.png,350.35160826975874,584.4059083330819,dram_grid,cut_wordline,350.3709,584.2535,0.1537,214.14
42,val/search/000042.png,val/reference/000042.png,690.9126245175622,794.1414174426341,finfet,gate_break,690.9673,794.1357,0.0549,236.83
43,val/search/000043.png,val/reference/000043.png,580.1415426163062,678.0435446628769,dram_grid,missing_contact,580.1365,677.8795,0.1642,233.17
44,val/search/000044.png,val/reference/000044.png,477.20290845795233,843.4192246469805,dram_grid,missing_contact,334.8072,531.0123,343.3288,221.94
45,val/search/000045.png,val/reference/000045.png,159.05753359106643,510.7723481290925,via_array,missing_contact,159.2956,510.6034,0.2919,235.65
46,val/search/000046.png,val/reference/000046.png,367.2462275562602,911.7865218150348,dram_grid,missing_contact,367.2002,911.8703,0.0956,243.74
47,val/search/000047.png,val/reference/000047.png,814.1700842368359,850.4046331533676,dram_grid,cut_wordline,154.7799,529.0699,733.5199,221.83
48,val/search/000048.png,val/reference/000048.png,315.68844756060474,575.258070172833,dram_grid,cut_wordline,315.8184,575.0103,0.2798,224.46
49,val/search/000049.png,val/reference/000049.png,70.38918000998899,206.9296838598181,dram_grid,cut_wordline,70.5194,207.0039,0.1499,266.59
50,val/search/000050.png,val/reference/000050.png,122.54259790405573,257.86377326992044,dram_grid,missing_contact,122.5719,257.9889,0.1285,223.33
51,val/search/000051.png,val/reference/000051.png,917.6356743764572,540.3222312536527,dram_grid,missing_contact,917.5129,540.5264,0.2383,205.37
52,val/search/000052.png,val/reference/000052.png,134.65254860638794,229.6468397431312,via_array,missing_contact,134.4678,229.6838,0.1884,220.63
53,val/search/000053.png,val/reference/000053.png,174.8473321788299,614.127963255315,finfet,gate_break,174.531,614.2123,0.3273,205.73
54,val/search/000054.png,val/reference/000054.png,102.7935936044934,691.0273068747272,dram_grid,missing_contact,142.9578,597.1758,102.0846,224.47
55,val/search/000055.png,val/reference/000055.png,918.9640374279218,727.8329590372202,dram_grid,cut_wordline,283.4321,332.4682,748.4745,216.77
56,val/search/000056.png,val/reference/000056.png,554.5315914688724,448.54517150441626,finfet,gate_break,554.6385,448.6244,0.1331,239.49
57,val/search/000057.png,val/reference/000057.png,247.9269852149464,311.9702547118246,dram_grid,missing_contact,51.8261,373.477,205.5204,206.49
58,val/search/000058.png,val/reference/000058.png,490.0926526640893,776.4412966211419,dram_grid,cut_wordline,239.378,261.3119,572.9015,204.82
59,val/search/000059.png,val/reference/000059.png,640.8180326233955,841.6705692683396,finfet,gate_break,640.7887,841.6424,0.0407,208.97
60,val/search/000060.png,val/reference/000060.png,357.6895859449036,194.18342119522475,finfet,gate_break,357.6529,194.4724,0.2913,215.69
61,val/search/000061.png,val/reference/000061.png,415.8991150600747,594.5677204313779,dram_grid,missing_contact,415.9919,594.4709,0.1341,209.88
62,val/search/000062.png,val/reference/000062.png,645.597658260733,707.5646325592837,finfet,gate_break,645.5705,707.5721,0.0282,205.8
63,val/search/000063.png,val/reference/000063.png,795.2750019200946,417.9094687856884,via_array,missing_contact,795.3551,417.8234,0.1176,219.87
64,val/search/000064.png,val/reference/000064.png,532.0937750733207,663.3567461057759,via_array,missing_contact,532.1741,663.5461,0.2057,204.98
65,val/search/000065.png,val/reference/000065.png,801.7716910210207,533.0570962718623,via_array,missing_contact,801.8071,533.0579,0.0354,196.27
66,val/search/000066.png,val/reference/000066.png,921.5938025915436,848.278506124699,dram_grid,cut_wordline,858.9502,908.6368,86.9905,209.71
67,val/search/000067.png,val/reference/000067.png,852.7968120425022,164.03272127023206,via_array,missing_contact,852.6026,164.0236,0.1944,217.08
68,val/search/000068.png,val/reference/000068.png,309.5135885417159,504.97011711082206,via_array,missing_contact,309.5277,504.9427,0.0308,226.66
69,val/search/000069.png,val/reference/000069.png,802.9004689527009,391.4059431669435,via_array,missing_contact,802.9196,391.5593,0.1546,209.21
70,val/search/000070.png,val/reference/000070.png,777.2103148415911,902.0441701837644,dram_grid,cut_wordline,911.9652,928.5224,137.3316,224.87
71,val/search/000071.png,val/reference/000071.png,513.39581673599,742.7850840893354,via_array,missing_contact,513.4019,742.6947,0.0906,248.81
72,val/search/000072.png,val/reference/000072.png,473.57713747817087,77.07762450233405,via_array,missing_contact,473.5964,77.111,0.0385,115.46
73,val/search/000073.png,val/reference/000073.png,228.67992579809447,334.93908341262795,via_array,missing_contact,228.5417,334.9716,0.142,82.77
74,val/search/000074.png,val/reference/000074.png,640.6644860279076,819.5914489010283,finfet,gate_break,640.5933,819.6588,0.098,61.19
75,val/search/000075.png,val/reference/000075.png,563.5472518866069,726.3073340169867,via_array,missing_contact,563.4731,726.3276,0.0769,70.85
76,val/search/000076.png,val/reference/000076.png,280.6940513209796,555.9037788258521,finfet,gate_break,280.5875,555.8628,0.1142,77.88
77,val/search/000077.png,val/reference/000077.png,415.3969299551355,439.370265971147,dram_grid,cut_wordline,415.2592,439.359,0.1381,82.93
78,val/search/000078.png,val/reference/000078.png,662.5681453154126,470.8049580347059,via_array,missing_contact,662.4575,470.7888,0.1118,85.87
79,val/search/000079.png,val/reference/000079.png,708.5655479297607,493.1566233664736,via_array,missing_contact,708.4383,493.2545,0.1606,84.98
80,val/search/000080.png,val/reference/000080.png,644.7452002754545,735.6646541452074,via_array,missing_contact,644.5432,735.512,0.2532,76.3
81,val/search/000081.png,val/reference/000081.png,173.33795625065238,697.4532383015223,via_array,missing_contact,173.3855,697.4943,0.0629,66.55
82,val/search/000082.png,val/reference/000082.png,242.0490775061903,182.5835884933844,via_array,missing_contact,241.9989,182.5231,0.0786,85.02
83,val/search/000083.png,val/reference/000083.png,734.7557677461909,611.2050446981629,dram_grid,missing_contact,734.5319,611.1917,0.2243,66.72
84,val/search/000084.png,val/reference/000084.png,110.74753037189704,610.6958669825241,via_array,missing_contact,110.4695,610.6427,0.2831,95.09
85,val/search/000085.png,val/reference/000085.png,334.52246989358406,488.0490780543329,via_array,missing_contact,334.4462,488.0888,0.086,76.85
86,val/search/000086.png,val/reference/000086.png,136.65304992467924,435.8614934289632,via_array,missing_contact,136.5064,435.7819,0.1668,65.06
87,val/search/000087.png,val/reference/000087.png,392.54680233296193,700.7400383576149,via_array,missing_contact,392.5362,700.5746,0.1658,69.56
88,val/search/000088.png,val/reference/000088.png,205.1065531711204,535.3093072249684,via_array,missing_contact,205.1449,535.5119,0.2061,83.99
89,val/search/000089.png,val/reference/000089.png,507.5405174544927,400.02556482025057,dram_grid,cut_wordline,646.4517,583.5086,230.1355,77.68
90,val/search/000090.png,val/reference/000090.png,296.86859148925777,417.3288382871857,dram_grid,missing_contact,296.7974,417.2937,0.0794,82.05
91,val/search/000091.png,val/reference/000091.png,679.5630189602128,685.1693296629294,via_array,missing_contact,679.4884,685.3621,0.2067,72.78
92,val/search/000092.png,val/reference/000092.png,91.0033439256571,621.9893476198154,via_array,missing_contact,91.0533,621.8976,0.1045,82.51
93,val/search/000093.png,val/reference/000093.png,914.5098048751028,834.0725031900841,finfet,gate_break,914.5439,834.1956,0.1278,191.76
94,val/search/000094.png,val/reference/000094.png,228.2310428962438,234.672015668476,dram_grid,missing_contact,228.1944,234.4677,0.2076,170.11
95,val/search/000095.png,val/reference/000095.png,200.95166106605552,264.3996504385584,finfet,gate_break,200.9485,264.1747,0.225,76.31
96,val/search/000096.png,val/reference/000096.png,817.4075817238445,396.08366441843873,finfet,gate_break,817.3722,395.9932,0.0971,68.21
97,val/search/000097.png,val/reference/000097.png,837.785881189953,125.7210878096954,dram_grid,cut_wordline,837.9684,125.6154,0.2109,88.03
98,val/search/000098.png,val/reference/000098.png,350.4927094816445,629.4355908514435,dram_grid,missing_contact,350.5572,629.3068,0.1441,72.47
99,val/search/000099.png,val/reference/000099.png,538.1457320089005,598.778225575438,dram_grid,cut_wordline,593.3441,661.4827,83.5387,72.02
